id	start	end	kind	name	items	confidence	source	evidence
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080011C:40800191	4080011C	40800191	string_cluster	string_cluster 4080011C	4	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080011D:40800331	4080011D	40800331	string_cluster	string_cluster 4080011D	6	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408002D2:40800A33	408002D2	40800A33	string_cluster	string_cluster 408002D2	45	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408004B8:408009BC	408004B8	408009BC	string_cluster	string_cluster 408004B8	23	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40800ACA:408016FE	40800ACA	408016FE	string_cluster	string_cluster 40800ACA	80	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40800BFB:40801A70	40800BFB	40801A70	string_cluster	string_cluster 40800BFB	116	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080182C:40801896	4080182C	40801896	string_cluster	string_cluster 4080182C	7	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40801D90:408027C6	40801D90	408027C6	string_cluster	string_cluster 40801D90	48	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40801EBE:40802006	40801EBE	40802006	string_cluster	string_cluster 40801EBE	11	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40802122:40802576	40802122	40802576	string_cluster	string_cluster 40802122	16	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40802779:40802DFE	40802779	40802DFE	string_cluster	string_cluster 40802779	38	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408029D9:4080305E	408029D9	4080305E	string_cluster	string_cluster 408029D9	38	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40802F0B:40802F45	40802F0B	40802F45	string_cluster	string_cluster 40802F0B	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080316B:40803240	4080316B	40803240	string_cluster	string_cluster 4080316B	4	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40803396:408034AA	40803396	408034AA	string_cluster	string_cluster 40803396	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803676:4080378A	40803676	4080378A	string_cluster	string_cluster 40803676	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40803CF6:40803EEA	40803CF6	40803EEA	string_cluster	string_cluster 40803CF6	5	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803FD6:408041CA	40803FD6	408041CA	string_cluster	string_cluster 40803FD6	5	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40804A66:40804ACA	40804A66	40804ACA	string_cluster	string_cluster 40804A66	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804F66:40804FCA	40804F66	40804FCA	string_cluster	string_cluster 40804F66	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408050F6:408051AA	408050F6	408051AA	string_cluster	string_cluster 408050F6	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408059AA:40805F70	408059AA	40805F70	string_cluster	string_cluster 408059AA	25	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40805AEC:40805B74	40805AEC	40805B74	string_cluster	string_cluster 40805AEC	6	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40806074:408063DE	40806074	408063DE	string_cluster	string_cluster 40806074	17	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080611A:40806FCC	4080611A	40806FCC	string_cluster	string_cluster 4080611A	67	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40806804:4080685A	40806804	4080685A	string_cluster	string_cluster 40806804	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40806964:40806D00	40806964	40806D00	string_cluster	string_cluster 40806964	21	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40806E68:408074A2	40806E68	408074A2	string_cluster	string_cluster 40806E68	31	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080713B:408074C2	4080713B	408074C2	string_cluster	string_cluster 4080713B	28	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408075B2:40807BE2	408075B2	40807BE2	string_cluster	string_cluster 408075B2	40	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40807758:40807802	40807758	40807802	string_cluster	string_cluster 40807758	6	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40807960:4080833A	40807960	4080833A	string_cluster	string_cluster 40807960	46	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40807F65:4080806F	40807F65	4080806F	string_cluster	string_cluster 40807F65	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40808170:408082E5	40808170	408082E5	string_cluster	string_cluster 40808170	10	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080844A:408089DB	4080844A	408089DB	string_cluster	string_cluster 4080844A	39	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080861E:408088D8	4080861E	408088D8	string_cluster	string_cluster 4080861E	12	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40808AE4:40808FAF	40808AE4	40808FAF	string_cluster	string_cluster 40808AE4	30	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408090F0:40809630	408090F0	40809630	string_cluster	string_cluster 408090F0	25	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080978E:40809B1C	4080978E	40809B1C	string_cluster	string_cluster 4080978E	18	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40809F42:40809F94	40809F42	40809F94	string_cluster	string_cluster 40809F42	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080A107:4080A65D	4080A107	4080A65D	string_cluster	string_cluster 4080A107	39	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080A3A4:4080A5D4	4080A3A4	4080A5D4	string_cluster	string_cluster 4080A3A4	7	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080A6E1:4080A810	4080A6E1	4080A810	string_cluster	string_cluster 4080A6E1	5	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080AA28:4080B338	4080AA28	4080B338	string_cluster	string_cluster 4080AA28	34	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080B490:4080B764	4080B490	4080B764	string_cluster	string_cluster 4080B490	12	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080B98C:4080C095	4080B98C	4080C095	string_cluster	string_cluster 4080B98C	44	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080C1EA:4080C3D7	4080C1EA	4080C3D7	string_cluster	string_cluster 4080C1EA	12	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080C506:4080C7F5	4080C506	4080C7F5	string_cluster	string_cluster 4080C506	17	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080C9D4:4080DD7E	4080C9D4	4080DD7E	string_cluster	string_cluster 4080C9D4	153	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080E0EB:4080E3C7	4080E0EB	4080E3C7	string_cluster	string_cluster 4080E0EB	14	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080E4EA:4080EF40	4080E4EA	4080EF40	string_cluster	string_cluster 4080E4EA	54	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080E6F9:4080EAA8	4080E6F9	4080EAA8	string_cluster	string_cluster 4080E6F9	28	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080F188:4080F33C	4080F188	4080F33C	string_cluster	string_cluster 4080F188	8	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080F459:4080F9C8	4080F459	4080F9C8	string_cluster	string_cluster 4080F459	39	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080F463:4080F4D8	4080F463	4080F4D8	string_cluster	string_cluster 4080F463	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080F5E4:40810588	4080F5E4	40810588	string_cluster	string_cluster 4080F5E4	96	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080FC38:4080FE36	4080FC38	4080FE36	string_cluster	string_cluster 4080FC38	8	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080FF8A:40810029	4080FF8A	40810029	string_cluster	string_cluster 4080FF8A	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40810174:408102CA	40810174	408102CA	string_cluster	string_cluster 40810174	12	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408107AA:40810CED	408107AA	40810CED	string_cluster	string_cluster 408107AA	33	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40810E2C:40811687	40810E2C	40811687	string_cluster	string_cluster 40810E2C	35	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40811915:4081299A	40811915	4081299A	string_cluster	string_cluster 40811915	117	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408125B4:408125DD	408125B4	408125DD	string_cluster	string_cluster 408125B4	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408126E9:40812840	408126E9	40812840	string_cluster	string_cluster 408126E9	5	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081294D:40812A88	4081294D	40812A88	string_cluster	string_cluster 4081294D	5	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40812AC5:408133DE	40812AC5	408133DE	string_cluster	string_cluster 40812AC5	44	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40812CDC:408135F0	40812CDC	408135F0	string_cluster	string_cluster 40812CDC	39	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40813606:40813B10	40813606	40813B10	string_cluster	string_cluster 40813606	28	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408136F8:40814074	408136F8	40814074	string_cluster	string_cluster 408136F8	57	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081429C:408149D8	4081429C	408149D8	string_cluster	string_cluster 4081429C	45	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40814B02:408168F5	40814B02	408168F5	string_cluster	string_cluster 40814B02	187	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408152B9:408153B0	408152B9	408153B0	string_cluster	string_cluster 408152B9	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40815557:40815869	40815557	40815869	string_cluster	string_cluster 40815557	13	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40815984:40816F51	40815984	40816F51	string_cluster	string_cluster 40815984	163	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40816A2C:408177B0	40816A2C	408177B0	string_cluster	string_cluster 40816A2C	77	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40817081:40817E15	40817081	40817E15	string_cluster	string_cluster 40817081	96	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40817AE4:4081844F	40817AE4	4081844F	string_cluster	string_cluster 40817AE4	63	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408180A5:40818188	408180A5	40818188	string_cluster	string_cluster 408180A5	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408182D0:408187C6	408182D0	408187C6	string_cluster	string_cluster 408182D0	19	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408185A8:40818943	408185A8	40818943	string_cluster	string_cluster 408185A8	21	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408189CD:40818B43	408189CD	40818B43	string_cluster	string_cluster 408189CD	5	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40818A94:40819F76	40818A94	40819F76	string_cluster	string_cluster 40818A94	107	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40818CAC:40818DEB	40818CAC	40818DEB	string_cluster	string_cluster 40818CAC	28	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40818EF8:40819399	40818EF8	40819399	string_cluster	string_cluster 40818EF8	14	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408194FC:4081A1A2	408194FC	4081A1A2	string_cluster	string_cluster 408194FC	62	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081A085:4081B12D	4081A085	4081B12D	string_cluster	string_cluster 4081A085	74	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081A2A4:4081A8FE	4081A2A4	4081A8FE	string_cluster	string_cluster 4081A2A4	24	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081AA02:4081B2D8	4081AA02	4081B2D8	string_cluster	string_cluster 4081AA02	41	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081B26C:4081BA26	4081B26C	4081BA26	string_cluster	string_cluster 4081B26C	42	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081B3DB:4081B44C	4081B3DB	4081B44C	string_cluster	string_cluster 4081B3DB	5	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081B573:4081B5EB	4081B573	4081B5EB	string_cluster	string_cluster 4081B573	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081B746:4081B90F	4081B746	4081B90F	string_cluster	string_cluster 4081B746	7	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081BB48:4081C3C2	4081BB48	4081C3C2	string_cluster	string_cluster 4081BB48	39	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081BC3C:4081C389	4081BC3C	4081C389	string_cluster	string_cluster 4081BC3C	21	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081C4CB:4081C5BE	4081C4CB	4081C5BE	string_cluster	string_cluster 4081C4CB	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081C6FD:4081C73E	4081C6FD	4081C73E	string_cluster	string_cluster 4081C6FD	4	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081C847:4081CAAE	4081C847	4081CAAE	string_cluster	string_cluster 4081C847	5	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081C8B2:4081DB9E	4081C8B2	4081DB9E	string_cluster	string_cluster 4081C8B2	117	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081CBD0:4081CC54	4081CBD0	4081CC54	string_cluster	string_cluster 4081CBD0	4	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081CD84:4081CFC8	4081CD84	4081CFC8	string_cluster	string_cluster 4081CD84	8	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081D138:4081D340	4081D138	4081D340	string_cluster	string_cluster 4081D138	13	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081D51F:4081D5D9	4081D51F	4081D5D9	string_cluster	string_cluster 4081D51F	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081D70E:4081D7AA	4081D70E	4081D7AA	string_cluster	string_cluster 4081D70E	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081D9D8:4081DC71	4081D9D8	4081DC71	string_cluster	string_cluster 4081D9D8	8	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081DCE8:4081E0EE	4081DCE8	4081E0EE	string_cluster	string_cluster 4081DCE8	29	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081DDB7:4081DF2B	4081DDB7	4081DF2B	string_cluster	string_cluster 4081DDB7	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081E214:4081E8AA	4081E214	4081E8AA	string_cluster	string_cluster 4081E214	39	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081EA26:4081EC8E	4081EA26	4081EC8E	string_cluster	string_cluster 4081EA26	14	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081EDD4:4081EF56	4081EDD4	4081EF56	string_cluster	string_cluster 4081EDD4	4	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081F074:4081F520	4081F074	4081F520	string_cluster	string_cluster 4081F074	20	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081F2A7:4081F60D	4081F2A7	4081F60D	string_cluster	string_cluster 4081F2A7	11	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081F7F5:408201CC	4081F7F5	408201CC	string_cluster	string_cluster 4081F7F5	65	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081F8E7:4081FA16	4081F8E7	4081FA16	string_cluster	string_cluster 4081F8E7	4	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081FD2C:4081FE1E	4081FD2C	4081FE1E	string_cluster	string_cluster 4081FD2C	5	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40820308:40820484	40820308	40820484	string_cluster	string_cluster 40820308	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4082031F:40820AFE	4082031F	40820AFE	string_cluster	string_cluster 4082031F	37	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40820C64:40821314	40820C64	40821314	string_cluster	string_cluster 40820C64	32	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40820E9C:40820FCD	40820E9C	40820FCD	string_cluster	string_cluster 40820E9C	5	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4082147B:40821F54	4082147B	40821F54	string_cluster	string_cluster 4082147B	52	0.7	stackimport	
