id	address	rom_id	target_kind	target_id	gap_kind	evidence	priority	status
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40944A20	40944A20	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40944A20	unmapped_function_candidate	218 calls; 218 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40990DF8	40990DF8	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40990DF8	unmapped_function_candidate	142 calls; 142 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409F643E	409F643E	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409F643E	unmapped_function_candidate	123 calls; 123 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409F643E	409F643E	rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	function_candidate	function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409F643E	unmapped_function_candidate	123 calls; 123 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409FEE7C	409FEE7C	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409FEE7C	unmapped_function_candidate	123 calls; 123 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40961B50	40961B50	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40961B50	unmapped_function_candidate	102 calls; 102 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409E65F6	409E65F6	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409E65F6	unmapped_function_candidate	101 calls; 101 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409F2CF0	409F2CF0	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409F2CF0	unmapped_function_candidate	101 calls; 101 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409F2CF0	409F2CF0	rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	function_candidate	function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409F2CF0	unmapped_function_candidate	101 calls; 101 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409F6452	409F6452	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409F6452	unmapped_function_candidate	92 calls; 92 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409F6452	409F6452	rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	function_candidate	function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409F6452	unmapped_function_candidate	92 calls; 92 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409FEE90	409FEE90	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409FEE90	unmapped_function_candidate	92 calls; 92 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409E660A	409E660A	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409E660A	unmapped_function_candidate	90 calls; 90 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409F2D04	409F2D04	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409F2D04	unmapped_function_candidate	90 calls; 90 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409F2D04	409F2D04	rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	function_candidate	function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409F2D04	unmapped_function_candidate	90 calls; 90 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40834154	40834154	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40834154	unmapped_function_candidate	86 calls; 86 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4086034A	4086034A	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4086034A	unmapped_function_candidate	86 calls; 86 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4086034A	4086034A	rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	function_candidate	function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4086034A	unmapped_function_candidate	86 calls; 86 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409E9B60	409E9B60	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409E9B60	unmapped_function_candidate	67 calls; 67 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409E9B60	409E9B60	rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	function_candidate	function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409E9B60	unmapped_function_candidate	67 calls; 67 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409AA7A0	409AA7A0	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409AA7A0	unmapped_function_candidate	62 calls; 62 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408BA800	408BA800	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408BA800	unmapped_function_candidate	50 calls; 50 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408BA800	408BA800	rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	function_candidate	function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408BA800	unmapped_function_candidate	50 calls; 50 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40854388	40854388	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40854388	unmapped_function_candidate	45 calls; 45 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40854388	40854388	rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	function_candidate	function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40854388	unmapped_function_candidate	45 calls; 45 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40828D48	40828D48	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40828D48	unmapped_function_candidate	44 calls; 44 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40941120	40941120	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40941120	unmapped_function_candidate	44 calls; 44 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409449E0	409449E0	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409449E0	unmapped_function_candidate	43 calls; 43 references; no confirmed SuperMario source overlay	high	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408571DC	408571DC	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408571DC	unmapped_function_candidate	36 calls; 36 references; no confirmed SuperMario source overlay	medium	needs_source_correlation
source_gap:function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408571DC	408571DC	rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	function_candidate	function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408571DC	unmapped_function_candidate	36 calls; 36 references; no confirmed SuperMario source overlay	medium	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4085F6A0	4085F6A0	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4085F6A0	unmapped_function_candidate	36 calls; 36 references; no confirmed SuperMario source overlay	medium	needs_source_correlation
source_gap:function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4085F6A0	4085F6A0	rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	function_candidate	function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4085F6A0	unmapped_function_candidate	36 calls; 36 references; no confirmed SuperMario source overlay	medium	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40935542	40935542	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40935542	unmapped_function_candidate	36 calls; 39 references; no confirmed SuperMario source overlay	medium	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409793F2	409793F2	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409793F2	unmapped_function_candidate	36 calls; 39 references; no confirmed SuperMario source overlay	medium	needs_source_correlation
source_gap:function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409793F2	409793F2	rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	function_candidate	function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409793F2	unmapped_function_candidate	36 calls; 39 references; no confirmed SuperMario source overlay	medium	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409E30BE	409E30BE	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409E30BE	unmapped_function_candidate	36 calls; 36 references; no confirmed SuperMario source overlay	medium	needs_source_correlation
source_gap:function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409E30BE	409E30BE	rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152	function_candidate	function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:409E30BE	unmapped_function_candidate	36 calls; 36 references; no confirmed SuperMario source overlay	medium	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40833560	40833560	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40833560	unmapped_function_candidate	35 calls; 35 references; no confirmed SuperMario source overlay	medium	needs_source_correlation
source_gap:function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409620F6	409620F6	rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152	function_candidate	function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:409620F6	unmapped_function_candidate	35 calls; 37 references; no confirmed SuperMario source overlay	medium	needs_source_correlation
